word,politics,religious,sports,entertainment
২০১৭,-12.641600215834359,0.0,0.0,-12.728133100306218
ফেব্রুয়ারি,-12.641600215834359,0.0,-12.71188202835209,0.0
আংশিক,-12.641600215834359,0.0,0.0,0.0
এদি,-12.641600215834359,-10.694575537525989,-12.71188202835209,-12.728133100306218
জেল,-8.941160497693264,-12.694575537525989,-11.71188202835209,0.0
লুকোচুরির,-12.641600215834359,0.0,0.0,0.0
শেষ,-10.641600215834357,-10.109613036804832,-9.541957026909776,-10.728133100306216
দলী,-9.641600215834357,0.0,-12.71188202835209,0.0
কাগজ,-12.641600215834359,0.0,0.0,0.0
চাননি,-12.641600215834359,0.0,0.0,0.0
দেননি,-11.641600215834359,-12.694575537525989,0.0,0.0
মিডিয়া,-12.641600215834359,0.0,0.0,-11.728133100306218
নাম,-10.319672120946995,-8.994135819384896,-9.011442310210995,-8.920778178248613
তালিকা,-11.056637715113201,0.0,-12.71188202835209,-10.728133100306216
করেননি,-12.641600215834359,-12.694575537525989,0.0,0.0
সাংগঠনিক,-10.641600215834357,0.0,0.0,0.0
কর্মসূচি,-9.834245293776753,0.0,-12.71188202835209,0.0
ফি,-9.319672120946995,0.0,-8.188320072295074,-8.558208098863904
ইনডোর,-12.641600215834359,0.0,0.0,0.0
আউটডোর,-12.641600215834359,0.0,0.0,0.0
প্রোগ্রাম,-12.641600215834359,0.0,0.0,0.0
যোগাযোগ,-12.641600215834359,-12.694575537525989,-12.71188202835209,-10.14317059958506
এল,-11.641600215834359,0.0,-9.541957026909776,-12.728133100306218
নিজ,-12.641600215834359,-10.694575537525989,-12.71188202835209,-12.728133100306218
আত্মগোপন,-12.641600215834359,0.0,0.0,0.0
সবাই,-12.641600215834359,0.0,-12.71188202835209,0.0
একসঙ্গ,-12.641600215834359,0.0,-12.71188202835209,-11.728133100306218
বস,-8.641600215834357,-8.694575537525989,-8.80499143274357,-9.26870148166892
পারেননি,-11.641600215834359,0.0,-10.389953933464724,0.0
কারাবন্দি,-12.641600215834359,0.0,0.0,0.0
অসুস্থ,-12.641600215834359,0.0,0.0,-11.728133100306218
দা,-7.18216859719706,-7.939688035362521,-8.068025838577363,-7.821242504697698
একক,-12.641600215834359,0.0,-11.126919527630932,0.0
সুস্থতা,-12.641600215834359,0.0,0.0,0.0
কামনা,-12.641600215834359,-12.694575537525989,0.0,0.0
দোয়া,-12.641600215834359,-12.694575537525989,0.0,0.0
অনুষ্ঠান,-12.641600215834359,-11.109613036804832,0.0,-9.14317059958506
আজ,-9.834245293776753,-9.887220615468385,-11.126919527630932,-11.728133100306218
বাংলাদেশ,-10.319672120946995,-10.109613036804832,-7.904527106294483,-10.406205005418855
মুদ্,-12.641600215834359,-11.69457553752599,0.0,0.0
পাচ,-10.056637715113201,0.0,0.0,0.0
মন্ত্রীএমপি,-12.641600215834359,0.0,0.0,0.0
টাকা,-9.641600215834357,-12.694575537525989,-11.71188202835209,-12.728133100306218
বিদেশ,-11.641600215834359,0.0,-11.71188202835209,-11.14317059958506
বাড়ি,-10.641600215834357,-12.694575537525989,-12.71188202835209,-11.728133100306218
কিন,-10.319672120946995,-11.109613036804832,0.0,-11.728133100306218
বেগমপাড়া,-12.641600215834359,0.0,0.0,0.0
মালয়েশিয়া,-12.641600215834359,0.0,0.0,0.0
সেকেন্ড,-12.641600215834359,0.0,0.0,0.0
হোম,-12.641600215834359,0.0,0.0,0.0
সুইস,-12.641600215834359,0.0,0.0,0.0
ব্যাং,-12.641600215834359,0.0,0.0,0.0
বাড়,-10.319672120946995,-11.109613036804832,-11.126919527630932,-10.406205005418855
দেশ,-8.249282793055597,-8.050719347751265,-7.319564605573328,-8.027693382165124
রক্ষা,-12.641600215834359,-12.694575537525989,0.0,-12.728133100306218
পুনঃপ্রতিষ্ঠ,-12.641600215834359,0.0,0.0,0.0
বিকল্প,-11.641600215834359,0.0,0.0,-12.728133100306218
প্রতিষ্ঠা,-9.182168597197059,-12.694575537525989,-11.126919527630932,-10.728133100306216
